Fund Name,Jan 2026,Feb 2026,Aug 2020 (sample)
ATRAM Philippine Balanced Fund (Class A),,,
ATRAM Philippine Balanced Fund (Class I),,,
PruInvest USD Global Technology Equity Feeder Fund Class A,,,435000
PruInvest USD Global Technology Equity Feeder Fund Class I,,,435000
ATRAM USD Total Return Bond Fund (Class A),,,
ATRAM USD Total Return Bond Fund (Class I),,,
ATRAM USD Money Market Fund (Class A),,,
ATRAM USD Money Market Fund (Class I),,,
PSBANK MONEY MARKET FUND,,,1130000000
RBank Balanced Fund,,,
RBank Peso Money Market Fund,,,
RBank Tax-Exempt Retirement Fund                  (A Balanced UITF),,,
RCBC Dollar Fixed Income Fund,,,4260000
RCBC Savings Bank Peso  Money Market UITF,,,
RCBC Multi-Asset Fund,,,
RCBC Dollar Money Market Fund,,,13420000
RCBC Equity Fund,,,270260000
RCBC Peso Fixed Income Fund,,,279980000
RCBC Peso Cash Management Fund,,,1257480000
RCBC Peso Money Market Fund,,,4382720000
SB Asia Ex Japan Equity Index Feeder Fund Class A,,,
SB Asia Ex Japan Equity Index Feeder Fund Class B,,,
SB Asia Ex Japan Equity Index Feeder Fund Class F,,,
SB Dollar Bond Fund,,,6500000
SB ESG Aware Equity Feeder Fund,,,
SB Global Equity Index Feeder Fund (Class A),,,
SB GLOBAL EQUITY INDEX FEEDER FUND (Class B),,,
SB GLOBAL EQUITY INDEX FEEDER FUND (Class F),,,
SB HIGH DIVIDEND PESO EQUITY FUND,,,3762390000
SB PESO ASSET VARIETY FUND,,,1300250000
SB PESO BOND FUND,,,1984860000
SB PESO EQUITY FUND,,,5707850000
SB PESO MONEY MARKET FUND,,,19324390000
SB Philippine Equity Index Fund,,,978550000
SB US Equity Index Feeder Fund,,,
SB US EQUITY INDEX FEEDER FUND (Class B),,,
SB US EQUITY INDEX FEEDER FUND (Class F),,,
SB US TECHNOLOGY EQUITY INDEX FEEDER FUND (USD),,,
SIGNATURE TRUST FUND,,,
"Soldivo Bond Fund, Inc.",,,
"Soldivo Strategic Growth Fund, Inc.",,,
"Solidaritas Fund, Inc.",117613739.18,,141176201.42
Sterling Balanced Fund,,,
Sterling Money Market Fund,,,
Sun Life Captains Fund,,,
"Sun Life Prosperity Balanced Fund, Inc.",,,7941682009.17
"Sun Life Prosperity Bond Fund, Inc.",,,5314366845.91
"Sun Life Prosperity Dollar Abundance Fund, Inc.",,,13973751.73
"Sun Life Prosperity Dollar Advantage Fund, Inc.",,,31842259.34
"Sun Life Prosperity Dollar Starter Fund, Inc.",,,59099561.12
"Sun Life Prosperity Dollar Wellspring Fund, Inc.",,,6978649.01
"Sun Life Prosperity Dynamic Fund, Inc.",,,1208822378.56
"Sun Life Prosperity GS Fund, Inc.",,,292677604.67
"Sun Life Prosperity Phil. Stock Index Fund, Inc.",,,8942367326.5
"Sun Life Prosperity Philippine Equity Fund, Inc.",,,6726995400
"SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND, INC.",,,
"Sun Life Prosperity World Voyager Fund, Inc.",,,15053625.29
Sunlife Prosperity Peso Starter Fund,,,63356518036.2
Landbank Balanced Fund,,,
Landbank Cash Management Fund,,,
Landbank Alpha Equity Fund,,,
Landbank High Dividend Equity Fund,,,
Landbank Medium-Term Bond Fund,,,
Landbank Blue Chip Equity Fund,,,
UCPB US$ Bond Fund,,,
Landbank US$ Money Market Fund,,,
UnionBank USD Capital Accumulation Global Fund of Funds,,,53452828.31
UnionBank PHP Capital Accumulation Global Fund of Funds,,,
UnionBank Dividend Play Equity Portfolio,,,
